date,province,positive
2020-04-16,Free State,99
2020-04-16,North West,33
2020-04-16,Mpumalanga,31
2020-04-16,Limpopo,24
2020-04-16,Northern Cape,10
2020-04-17,Western Cape,852
2020-04-17,Gauteng,1119
2020-04-17,KwaZulu-Natal,646
2020-04-17,Eastern Cape,272
2020-04-17,Unknown,14
2020-04-17,Free State,100
2020-04-17,North West,36
2020-04-17,Mpumalanga,32
2020-04-17,Limpopo,25
2020-04-17,Northern Cape,10
2020-04-18,Western Cape,903
2020-04-18,Gauteng,1160
2020-04-18,KwaZulu-Natal,668
2020-04-18,Eastern Cape,294
2020-04-18,Unknown,14
2020-04-18,Free State,100
2020-04-18,North West,37
2020-04-18,Mpumalanga,33
2020-04-18,Limpopo,26
2020-04-18,Northern Cape,10
2020-04-19,Western Cape,947
2020-04-19,Gauteng,1179
2020-04-19,KwaZulu-Natal,689
2020-04-19,Eastern Cape,311
2020-04-19,Unknown,14
2020-04-19,Free State,100
2020-04-19,North West,38
2020-04-19,Mpumalanga,33
2020-04-19,Limpopo,26
2020-04-19,Northern Cape,10
2020-04-20,Western Cape,1010
2020-04-20,Gauteng,1204
2020-04-20,KwaZulu-Natal,705
2020-04-20,Eastern Cape,333
2020-04-20,Unknown,14
2020-04-20,Free State,106
2020-04-20,North West,41
2020-04-20,Mpumalanga,33
2020-04-20,Limpopo,26
2020-04-20,Northern Cape,12
2020-04-21,Western Cape,1104
2020-04-21,Gauteng,1240
2020-04-21,KwaZulu-Natal,772
2020-04-21,Eastern Cape,369
2020-04-21,Unknown,14
2020-04-21,Free State,107
2020-04-21,North West,42
2020-04-21,Mpumalanga,34
2020-04-21,Limpopo,26
2020-04-21,Northern Cape,12
2020-04-22,Western Cape,1227
2020-04-22,Gauteng,1261
2020-04-22,KwaZulu-Natal,816
2020-04-22,Eastern Cape,402
2020-04-22,Unknown,34
2020-04-22,Free State,107
2020-04-22,North West,43
2020-04-22,Mpumalanga,34
2020-04-22,Limpopo,26
2020-04-22,Northern Cape,12
2020-04-23,Western Cape,1319
2020-04-23,Gauteng,1275
2020-04-23,KwaZulu-Natal,852
2020-04-23,Eastern Cape,435
2020-04-23,Unknown,155
2020-04-23,Free State,107
2020-04-23,North West,43
2020-04-23,Mpumalanga,34
2020-04-23,Limpopo,26
2020-04-23,Northern Cape,12
